tahun,bulan,hari,stasiun,pm_sepuluh,pm_duakomalima,sulfur_dioksida,karbon_monoksida,ozon,nitrogen_dioksida,max,parameter_pencemar_kritis,kategori
2021,1,1,DKI1 BUNDARAN HOTEL INDONESIA (HI),38,53,29,6,31,13,53,PM25,SEDANG
2021,1,1,DKI2 KELAPA GADING,38,58,2,11,65,6,65,O3,SEDANG
2021,1,1,DKI3 JAGAKARSA,43,56,15,10,33,5,56,PM25,SEDANG
2021,1,1,DKI4 LUBANG BUAYA,41,75.49,37,14,35,4,41,PM10,BAIK
2021,1,1,DKI5 KEBON JERUK,37,75.49,20,12,25,4,37,PM10,BAIK
2021,1,2,DKI1 BUNDARAN HOTEL INDONESIA (HI),27,46,27,7,47,7,47,O3,BAIK
2021,1,2,DKI2 KELAPA GADING,29,46,36.89,12,80,12,80,O3,SEDANG
2021,1,2,DKI3 JAGAKARSA,58,86,15,22,38,5,86,PM25,SEDANG
2021,1,2,DKI4 LUBANG BUAYA,44,75.49,38,38,59,3,59,CO,SEDANG
2021,1,2,DKI5 KEBON JERUK,33,75.49,18,20,64,6,64,CO,SEDANG
2021,1,3,DKI1 BUNDARAN HOTEL INDONESIA (HI),44,58,25,7,40,13,58,PM25,SEDANG
2021,1,3,DKI2 KELAPA GADING,37,59,36.89,10,86,13,86,O3,SEDANG
2021,1,3,DKI3 JAGAKARSA,64,93,14,20,35,5,93,PM25,SEDANG
2021,1,3,DKI4 LUBANG BUAYA,50,75.49,37,16,52,5,52,CO,SEDANG
2021,1,3,DKI5 KEBON JERUK,42,75.49,15,10,62,3,62,CO,SEDANG
2021,1,4,DKI1 BUNDARAN HOTEL INDONESIA (HI),30,48,24,4,32,7,48,PM25,BAIK
2021,1,4,DKI2 KELAPA GADING,30,49,36.89,9,77,7,77,O3,SEDANG
2021,1,4,DKI3 JAGAKARSA,50,67,13,15,17,4,67,PM25,SEDANG
2021,1,4,DKI4 LUBANG BUAYA,45,75.49,36,16,24,3,45,PM10,BAIK
2021,1,4,DKI5 KEBON JERUK,27,75.49,14,7,31,4,31,CO,BAIK
2021,1,5,DKI1 BUNDARAN HOTEL INDONESIA (HI),38,53,24,6,31,9,53,PM25,SEDANG
2021,1,5,DKI2 KELAPA GADING,35,52,36.89,8,77,7,77,O3,SEDANG
2021,1,5,DKI3 JAGAKARSA,59,89,15,19,42,7,89,PM25,SEDANG
2021,1,5,DKI4 LUBANG BUAYA,52,75.49,36,15,35,8,52,PM10,SEDANG
2021,1,5,DKI5 KEBON JERUK,41,75.49,15,9,28,23.16,41,PM10,BAIK
2021,1,6,DKI1 BUNDARAN HOTEL INDONESIA (HI),41,58,23,13,46,13,58,PM25,SEDANG
2021,1,6,DKI2 KELAPA GADING,48,60,36.89,12,85,14,85,O3,SEDANG
2021,1,6,DKI3 JAGAKARSA,52,81,18,28,52,11,81,PM25,SEDANG
2021,1,6,DKI4 LUBANG BUAYA,73,75.49,32,29,66,6,73,PM10,SEDANG
2021,1,6,DKI5 KEBON JERUK,33,75.49,12,19,46,23.16,46,CO,BAIK
2021,1,7,DKI1 BUNDARAN HOTEL INDONESIA (HI),35,47,22,6,39,10,47,PM25,BAIK
2021,1,7,DKI2 KELAPA GADING,35,50,36.89,9,72,15,72,O3,SEDANG
2021,1,7,DKI3 JAGAKARSA,22,52,16,12,44,5,52,PM25,SEDANG
2021,1,7,DKI4 LUBANG BUAYA,36,75.49,30,19,55,5,55,CO,SEDANG
2021,1,7,DKI5 KEBON JERUK,27,75.49,13,11,36,23.16,36,CO,BAIK
2021,1,8,DKI1 BUNDARAN HOTEL INDONESIA (HI),37,54,26,16,17,10,54,PM25,SEDANG
2021,1,8,DKI2 KELAPA GADING,38,55,36.89,11,71,9,71,O3,SEDANG
2021,1,8,DKI3 JAGAKARSA,26,68,21,22,40,9,68,PM25,SEDANG
2021,1,8,DKI4 LUBANG BUAYA,36,75.49,31,23,51,6,51,CO,SEDANG
2021,1,8,DKI5 KEBON JERUK,36,75.49,18,19,28,23.16,36,PM10,BAIK
